Borough,Population (2017),"GDP ($, per capita)",Land area (square miles),Density (persons per square mile)
The Bronx,1471160,29200,42.1,34653
Brooklyn,2648771,34600,70.82,37137
Manhattan,1664727,360600,22.83,72033
Queens,2358582,39600,108.53,21460
Staten Island,479458,30300,58.37,8112
