Borough,Area (km²),Population,Population density (km²)
Centrum,8.04,86422,"13,748"
Noord,49.01,94766,"2,269"
Nieuw-West,32.38,151677,"4,478"
Oost,30.56,135767,"7,635"
West,9.89,143842,"15,252"
Westpoort,10,192,10
Zuid,17.41,144432,"9,349"
Zuidoost,22.08,87854,"4,391"
