DATE,DEUPROINDMISMEI
1960-01-01,27.2727702095589
1960-02-01,27.1144236219991
1960-03-01,27.4991481400986
1960-04-01,28.1181849139256
1960-05-01,27.7673616797392
1960-06-01,27.9123591908882
1960-07-01,28.9406140380758
1960-08-01,28.3837462804911
1960-09-01,28.8714365297342
1960-10-01,29.4895547262833
1960-11-01,29.25906149826
1960-12-01,29.6696560710584
1961-01-01,30.068003109228
1961-02-01,30.2459390015185
1961-03-01,30.535968907039
1961-04-01,30.5257933158719
1961-05-01,29.8795819654351
1961-06-01,29.8812015426504
1961-07-01,30.4386603990626
1961-08-01,30.2085386486627
1961-09-01,30.4579077548816
1961-10-01,30.2232172390404
1961-11-01,30.3112466899993
1961-12-01,30.9884515185467
1962-01-01,32.3399925566973
1962-02-01,32.2782750136502
1962-03-01,32.2782750136502
1962-04-01,31.7845346692731
1962-05-01,32.7720153580272
1962-06-01,32.7720153580272
1962-07-01,32.8337329010744
1962-08-01,34.2532363911584
1962-09-01,33.4509083315457
1962-10-01,32.8954504441215
1962-11-01,33.5743434176399
1962-12-01,32.7102978149801
1963-01-01,32.8337329010744
1963-02-01,32.4634276427916
1963-03-01,33.2657557024043
1963-04-01,33.5743434176399
1963-05-01,33.8212135898285
1963-06-01,33.5126258745928
1963-07-01,34.068083762017
1963-08-01,35.3024346229596
1963-09-01,34.3149539342055
1963-10-01,34.8704118216297
1963-11-01,35.1172819938182
1963-12-01,34.068083762017
1964-01-01,35.6727398812424
1964-02-01,36.5367854839023
1964-03-01,35.919610053431
1964-04-01,35.9813275964781
1964-05-01,35.919610053431
1964-06-01,36.5367854839023
1964-07-01,37.2773960004679
1964-08-01,36.9688082852322
1964-09-01,37.0305258282793
1964-10-01,37.5242661726564
1964-11-01,37.4625486296093
1964-12-01,37.8945714309392
1965-01-01,38.758617033599
1965-02-01,38.4500293183634
1965-03-01,38.3883117753163
1965-04-01,38.5734644044576
1965-05-01,38.5734644044576
1965-06-01,38.264876689222
1965-07-01,38.4500293183634
1965-08-01,38.8203345766462
1965-09-01,39.1289222918818
1965-10-01,38.9437696627404
1965-11-01,38.6968994905519
1965-12-01,39.6226626362589
1966-01-01,39.3140749210232
1966-02-01,39.3757924640704
1966-03-01,40.1781205236831
1966-04-01,39.4992275501646
1966-05-01,39.3140749210232
1966-06-01,39.8078152654003
1966-07-01,39.3757924640704
1966-08-01,38.8820521196933
1966-09-01,39.1289222918818
1966-10-01,38.6351819475048
1966-11-01,38.1414416031277
1966-12-01,38.2031591461749
1967-01-01,37.5242661726564
1967-02-01,37.0922433713265
1967-03-01,36.8453731991379
1967-04-01,37.0922433713265
1967-05-01,36.5367854839023
1967-06-01,37.339113543515
1967-07-01,38.3265942322691
1967-08-01,37.5242661726564
1967-09-01,38.5117468614105
1967-10-01,38.9437696627404
1967-11-01,39.3140749210232
1967-12-01,41.5976240137671
1968-01-01,38.3265942322691
1968-02-01,39.190639834929
1968-03-01,39.684380179306
1968-04-01,39.8078152654003
1968-05-01,40.8570134972016
1968-06-01,41.53590647072
1968-07-01,40.9804485832958
1968-08-01,43.7577380204168
1968-09-01,43.0788450468983
1968-10-01,43.2022801329926
1968-11-01,44.6835011661238
1968-12-01,44.4366309939352
1969-01-01,44.9303713383123
1969-02-01,45.1772415105008
1969-03-01,45.6709818548779
1969-04-01,45.9795695701135
1969-05-01,46.5350274575377
1969-06-01,47.0287678019148
1969-07-01,46.9053327158205
1969-08-01,48.2014011198103
1969-09-01,47.7693783184804
1969-10-01,48.3865537489517
1969-11-01,49.1271642655173
1969-12-01,48.7568590072345
1970-01-01,48.8802940933287
1970-02-01,49.5591870668472
1970-03-01,49.7443396959886
1970-04-01,50.2380800403656
1970-05-01,50.6083852986484
1970-06-01,50.1146449542714
1970-07-01,50.7318203847427
1970-08-01,49.92949232513
1970-09-01,49.6826221529415
1970-10-01,50.0529274112242
1970-11-01,49.6209046098943
1970-12-01,50.4849502125542
1971-01-01,51.4107133582612
1971-02-01,50.855255470837
1971-03-01,50.6083852986484
1971-04-01,50.9786905569312
1971-05-01,50.2380800403656
1971-06-01,50.7935379277898
1971-07-01,51.5958659874026
1971-08-01,49.4357519807529
1971-09-01,50.6083852986484
1971-10-01,50.7318203847427
1971-11-01,49.9912098681771
1971-12-01,49.1271642655173
1972-01-01,51.0404080999784
1972-02-01,51.4107133582612
1972-03-01,51.9661712456853
1972-04-01,51.9661712456853
1972-05-01,51.6575835304497
1972-06-01,51.9661712456853
1972-07-01,52.2130414178739
1972-08-01,51.9661712456853
1972-09-01,52.0278887887325
1972-10-01,52.7067817622509
1972-11-01,53.6325449079579
1972-12-01,54.3114378814764
1973-01-01,54.8051782258534
1973-02-01,55.2989185702305
1973-03-01,55.6692238285133
1973-04-01,55.3606361132776
1973-05-01,55.7309413715604
1973-06-01,55.3606361132776
1973-07-01,53.3856747357694
1973-08-01,56.3481168020317
1973-09-01,56.1012466298432
1973-10-01,55.7309413715604
1973-11-01,56.0395290867961
1973-12-01,55.4840711993719
1974-01-01,55.6692238285133
1974-02-01,55.4840711993719
1974-03-01,55.1754834841362
1974-04-01,55.2989185702305
1974-05-01,55.9160940007018
1974-06-01,55.2372010271834
1974-07-01,55.1754834841362
1974-08-01,53.8176975370993
1974-09-01,53.9411326231936
1974-10-01,53.7559799940522
1974-11-01,53.3856747357694
1974-12-01,50.7318203847427
1975-01-01,51.0404080999784
1975-02-01,50.7935379277898
1975-03-01,51.348995815214
1975-04-01,50.6701028416956
1975-05-01,50.4849502125542
1975-06-01,50.3615151264599
