numbers
2.0
24.0
442.0
4.0
90.0
243.0
81.0
5.0
11.0
5.0
8.0
3.0
1.0
42.0
11.0
6.0
7.0
2.0
2.0
6.0
58.0
1043.0
2680.0
3.0
3.0
24.0
3.14
0.0
12.0
142.0
5.0
3.0
7.0
8.0
69.0
7.0
9.0
3.0
16.5
2.0
7.0
21.0
8.0
8.0
5.0
4.0
7.0
2.78
404.0
11.0
36.0
8.0
4.0
7.0
48.0
25.0
2.0
7.0
44.0
714.0
7.0
23.0
6.0
9.0
11.0
4.0
7.0
28000000.0
4.0
17.0
41.0
919.0
29.0
3.0
56.0
42.0
8.0
25.0
3.14
3.0
3.0
13.0
3.14
28.0
42.0
136.0
21.0
64.0
2.0
3.0
1.0
37.0
3.0
4.0
255.0
69.0
36.0
21.0
21.0
2.78
23.0
1113.0
96.0
8.0
10.0
8.0
1.0
4.0
8.0
9146.0
9.0
7.0
17.0
29.0
11.0
13.0
7.0
27.0
2.0
4.0
7.0
43.0
0.0
24.0
96.0
5.0
8.0
7.0
7.0
8.0
2.0
88.0
2.0
6.0
23.0
420.0
42.0
24.0
11.0
2.0
2.0
7.0
5.0
11.0
5.0
37.0
8.0
73.0
5.0
6.0
14.0
13.0
127.0
23.0
17.0
9.0
9.0
2.0
3.14
6.0
73.0
69.0
12.0
18.0
21.0
22.0
4.0
52.0
8.0
64.0
4.0
27.0
48.0
2.0
1337.0
7.0
11.0
13.0
17.0
27.0
13.0
25.0
36.0
13.0
6.0
17.0
2.78
7.0
5.0
3.0
8.0
1989.0
0.0
2.0
8.0
272.0
46.0
17.0
17.0
4.0
5.0
3.0
7.0
32.0
1.0
5.0
13.0
7.0
3.0
23.0
51.0
923.0
222.0
27412.0
13.0
37.0
12.0
8.0
3.0
8.0
3.0
10.0
12.0
4.0
532.0
23.0
13.0
2.0
12.0
6.0
13.0
42.0
6.0
14.0
12.0
0.0
7.0
42.0
3.0
5.0
1881.0
7.0
73.0
4.0
43.0
2.0
42.0
23.0
8.0
2002.0
11.0
3.0
7.0
1234.0
11.0
17.0
16.0
9.0
3.0
9.0
25.0
37.0
6.0
119.0
3.0
17.0
115.0
11.0
23.0
6.0
9.0
11.0
17.0
14.0
6.0
6.0
4.0
42.0
71011343.0
8.0
1994.0
153.0
42.0
99.0
13.0
14.0
1.618
3.0
7.0
27.0
24.0
21.0
2.0
7.0
2.78
27.0
0.0
2.0
16.0
203.0
84.0
19.0
30.0
3.0
33.0
6.0
27.0
3.14
13.0
163.0
7.0
5.0
17.0
9.0
6.0
210.0
13.0
8.0
92.0
42.0
7.0
13.0
6.0
11.0
13.0
9.0
42.0
3.0
8.0
37.0
2.78
3.0
3.0
13.0
36.0
9.0
21.0
7.0
6.0
6.0
4.0
8.0
69.0
8.0
4.0
3.0
3.0
35.0
33333.0
3.0
6.0
32.0
2.0
3.14
84.0
3.0
29.0
4.0
7.0
17.0
11.0
5.0
13.0
11.0
72.0
4.0
17.0
8.0
13.0
7.0
3.0
3.0
69.0
7.0
5.0
6.0
3.0
13.0
28.0
7.0
42.0
48.0
36.0
6.0
23.0
27.0
8.0
3.0
7.0
69.0
5.0
7.0
7.0
21.0
55.0
13.0
4.0
7.0
3.14
2.0
4.0
5.0
2.78
3.0
2.0
9.0
6.0
3.0
8.0
31.0
613.0
1.0
16.0
23.0
48.0
2.0
56.0
12.0
16.0
5.0
3.14
8.0
777.0
7.0
21.0
3.0
168.0
9.0
7.0
8.0
123.0
13.0
5.0
11.0
15.0
4.0
42.0
33.0
42.0
9.0
8.0
27.0
6.2832
-44714928.0
13.0
2.0
1.618
19.0
27.0
4.0
4.0
7.0
4.0
4.0
3.0
32.0
17.0
0.0
64.0
2.0
7.0
612.0
7.0
27.0
42.0
8.0
8.0
17.0
26.0
11.0
73.0
8.0
74.0
9.0
9.0
3.14
17.0
8.0
7.0
3.0
3.0
6.0
13.0
2.78
23.0
28.0
25.0
22.0
13.0
7.0
7.0
7.0
42.0
37.0
21.0
9.0
13.0
12.0
3.0
13.0
17.0
6.0
4.0
2.0
8.0
8.0
4.0
48.0
0.0073
7.0
29.0
4.0
4.0
8.0
9.0
8.0
39.0
1.643
7.0
9.0
11.0
42.0
16.0
66.0
5.0
37.0
13.0
3.0
1.0000000000000001e+37
8.0
5.0
6.0
4.0
7.0
2.0
8.0
23.0
9.0
17.0
5.0
27.0
7.0
2.78
42.0
21.0
88.0
6.0
9.0
8.0
9.0
8.0
21.0
9.0
13.0
4.0
2.0
612.0
20.0
27.0
13.0
23.0
13.0
3.0
3.0
8.0
4.0
3.0
7.0
64.0
24.0
8.0
21.0
13.0
7.0
13.0
8.0
24.0
69.0
7.0
1.0
39.0
2.0
8.0
13.0
9.0
5.0
3.0
5.0
19.0
7.0
9.0
17.0
3.0
4.0
28.0
17.0
937450274560.0
11.0
5.0
3.0
3.0
42.0
12.0
18.0
11.0
31.0
9.0
9.0
13.0
14.0
5.0
26.0
5.0
3.0
7.0
24.0
15.0
13.0
2468.0
13.0
7.0
321.0
57.0
81.0
47.0
24.0
92.0
8.0
0.0
8.0
27.0
147.0
27.0
7.0
32.0
45.0
3.14
3.0
17.0
1.41
13.0
49.0
8.0
65.0
13.0
0.0
4.0
69.0
2.78
4.0
9.0
7.0
1.618
1729.0
22.0
13.0
9.0
69.0
56.0
8.0
7.0
11.0
5.0
16.0
8.0
2.0
47.0
3.0
53.0
8.0
33.0
22.0
17.0
2.0
73.0
17.0
37.0
9.0
9623.0
17.0
48.0
42.0
8.0
37.0
32.0
62.0
27.0
2.78
235.0
163.0
9.0
9.0
13.0
14.0
32.0
6.2832
10.0
25.0
9.0
256.0
4.0
27.0
7.0
3.0
7.0
4.0
14.0
6729.0
8.0
8.0
10.0
13.0
9.0
11.0
9.0
9.0
13.0
8.0
3.0
7.0
2.0
4.0
33.0
8.0
7.0
16.0
6.0
9.0
5.0
4.0
7.0
1337.0
22.0
336.0
3.0
42.0
9.0
4.0
4.0
5.0
4.0
7.0
32.0
42.0
23.0
103.0
7.0
44.0
47.0
6.0
8.0
3.0
2.0
7.0
7.0
8.0
5.0
4.0
6.0
97.0
163.0
196.0
49.0
5.0
19.0
12.0
4.0
13.0
0.0
9.0
17.0
5.0
8.0
91.0
17.0
24.0
7.0
24.0
11.0
3.14
3.0
8.0
5.0
3.14
56.0
7.0
5.0
4.0
8.0
17.0
6.0
6.0
37.0
1.0
64.0
7.0
6.0
13.0
7.0
625.0
4.0
88.0
47.0
235.0
7.0
4.0
16.0
7.0
12.0
23.0
2.0
17.0
3.0
3.0
5.0
5.0
64.0
5.0
8.0
17.0
5.0
9.0
9.0
8.0
4.0
19.0
13.0
42.0
37.0
16.0
41821.0
6.0
3.0
2.0
37.0
11.0
9.0
333.0
7.0
12.0
7.0
15.0
23.0
1729.0
13.0
42.0
27.0
0.0
3.0
23.0
0.0
5.0
212.0
24.0
6.0
4.0
72.0
23.0
11.0
3.0
8.0
7.0
12.0
8.0
6.0
7.0
7.0
11.0
8.0
73.0
7.0
0.0
3.0
8.0
16.0
51.0
7.0
2.78
6.28
3.0
13.0
10.0
5776.0
6.0
9.0
8.0
4.0
7.0
7.0
2.78
3.0
1.618
4.0
6.0
17.0
9.0
5.0
19.0
11.0
42.0
5.0
39.0
26.0
11.0
24.0
7.0
23.0
7.0
5.0
24.0
3.14
13.0
18.0
4.0
9.0
5.0
9.0
5.0
24.0
8.0
9.0
28.0
5.0
86.0
6.0
4.0
32.0
6.0
22.0
2.0
2.0
44.0
9.0
42.0
2.78
10.0
3.0
23.0
13.0
8.0
3.0
18.0
42.0
28.0
23.0
14.0
5.0
4.0
19.0
8.0
5.0
8.0
7.0
327.0
12.0
326.0
27.0
7.0
3.0
126.0
3.14
5.0
11.0
9.0
47.0
3.0
7.0
26.0
7.0
8.0
11.0
8.0
5.0
12.0
49.0
7.0
7.0
10.0
10.0
7.0
7.0
6.0
9.0
32.0
16.0
25.0
4.0
9.0
1618.0
9.0
36.0
12.0
7.0
22.0
237.0
5.0
14.0
